REMIND index;scenario variable;dataset name;dataset reference product;dataset unit;share
trans - fegat;FE|Transport|Freight|Road|Heavy|Truck(26t)|Gases|Fossil;compressed gas, burned in heavy duty vehicle;heat;megajoule;regional
trans - fegat;FE|Transport|Freight|Road|Heavy|Truck(26t)|Gases|Hydrogen;compressed gas, synthetic, burned in heavy duty vehicle;heat;megajoule;regional
trans - feh2t;FE|Transport|Freight|Road|Heavy|Truck(26t)|Hydrogen;hydrogen, used in a fuel cell in a heavy duty vehicle;heat;megajoule;regional
trans - fedie;FE|Transport|Freight|Road|Heavy|Truck(26t)|Liquids|Biomass;biodiesel, burned in heavy-duty vehicle;heat;megajoule;regional
trans - fedie;FE|Transport|Freight|Road|Heavy|Truck(26t)|Liquids|Fossil;diesel, burned in heavy-duty vehicle;heat;megajoule;regional
trans - fedie;FE|Transport|Freight|Road|Heavy|Truck(26t)|Liquids|Hydrogen;diesel, synthetic, burned in heavy duty vehicle;heat;megajoule;regional
trans - feelt;FE|Transport|Freight|Road|Heavy|Truck(40t)|Electricity;electricity, used in heavy-duty vehicle;electricity, low voltage;megajoule;regional
trans - fegat;FE|Transport|Freight|Road|Heavy|Truck(40t)|Gases|Biomass;biomethane, burned in heavy duty vehicle;heat;megajoule;regional
trans - fegat;FE|Transport|Freight|Road|Heavy|Truck(40t)|Gases|Fossil;compressed gas, burned in heavy duty vehicle;heat;megajoule;regional
trans - fegat;FE|Transport|Freight|Road|Heavy|Truck(40t)|Gases|Hydrogen;compressed gas, synthetic, burned in heavy duty vehicle;heat;megajoule;regional
trans - feh2t;FE|Transport|Freight|Road|Heavy|Truck(40t)|Hydrogen;hydrogen, used in a fuel cell in a heavy duty vehicle;heat;megajoule;regional
trans - fedie;FE|Transport|Freight|Road|Heavy|Truck(40t)|Liquids|Biomass;biodiesel, burned in heavy-duty vehicle;heat;megajoule;regional
trans - fedie;FE|Transport|Freight|Road|Heavy|Truck(40t)|Liquids|Fossil;diesel, burned in heavy-duty vehicle;heat;megajoule;regional
