LCIA method,impact_category
"ReCiPe 2016 v1.03, endpoint (H) only LT - human health only LT - human toxicity: non-carcinogenic only LT",human toxicity
"ReCiPe 2016 v1.03, endpoint (H) only LT - human health only LT - ionising radiation only LT",ionizing radiation
"ReCiPe 2016 v1.03, endpoint (H) only LT - human health only LT - ozone depletion only LT",ozone depletion
"ReCiPe 2016 v1.03, endpoint (H) only LT - human health only LT - particulate matter formation only LT",particulate matter formation
"ReCiPe 2016 v1.03, endpoint (H) only LT - human health only LT - photochemical oxidant formation: human health only LT",photochemical oxidant formation
"ReCiPe 2016 v1.03, endpoint (H) only LT - human health only LT - water use: human health only LT",water use
"ReCiPe 2016 v1.03, endpoint (H) only LT - natural resources only LT - energy resources: non-renewable, fossil only LT",fossil resources
"ReCiPe 2016 v1.03, endpoint (H) only LT - natural resources only LT - material resources: metals/minerals only LT",metal/mineral resources
"ReCiPe 2016 v1.03, endpoint (H) only LT - total: ecosystem quality only LT - ecosystem quality only LT","ReCiPe 2016 v1.03, endpoint (H) only LT - total: ecosystem quality only LT - ecosystem quality only LT"
"ReCiPe 2016 v1.03, endpoint (H) only LT - total: human health only LT - human health only LT","ReCiPe 2016 v1.03, endpoint (H) only LT - total: human health only LT - human health only LT"
"ReCiPe 2016 v1.03, endpoint (H) only LT - total: natural resources only LT - natural resources only LT","ReCiPe 2016 v1.03, endpoint (H) only LT - total: natural resources only LT - natural resources only LT"
"ReCiPe 2016 v1.03, midpoint (H) only LT - climate change only LT - global warming potential (GWP100) only LT",climate change
"ReCiPe 2016 v1.03, endpoint (H) only LT - ecosystem quality only LT - climate change: freshwater ecosystems only LT - incl. H and bio CO2 only LT",climate change
"ReCiPe 2016 v1.03, endpoint (H) only LT - ecosystem quality only LT - climate change: terrestrial ecosystems only LT - incl. H and bio CO2 only LT",climate change
"ReCiPe 2016 v1.03, endpoint (H) only LT - human health only LT - climate change: human health only LT - incl. H and bio CO2 only LT",climate change
"ReCiPe 2016 v1.03, endpoint (H) only LT - human health only LT - particulate matter formation only LT - with adapted intake fractions only LT",particulate matter formation
